Annee;HC;HP;HF;Valeur
2022;HC_64;TOTAL;HF_2;2254
2022;HC_65;TOTAL;HF_2;17
2023;HC_11;TOTAL;HF_3;849
2023;HC_12;TOTAL;HF_2;190
2023;HC_12;TOTAL;HF_3;93
2023;HC_14;TOTAL;HF_3;207
2023;HC_21;TOTAL;HF_1;9659
2023;HC_21;TOTAL;HF_2;273
2023;HC_23;TOTAL;HF_1;7047
2023;HC_23;TOTAL;HF_3;3257
2023;HC_31;TOTAL;HF_2;10
2023;HC_31;TOTAL;HF_3;13330
2023;HC_32;TOTAL;HF_1;104
2023;HC_41;TOTAL;HF_2;511
2023;HC_42;TOTAL;HF_1;4791
2023;HC_51;TOTAL;HF_1;40860
2023;HC_52;TOTAL;HF_2;2745
2023;HC_61;TOTAL;HF_2;2
2023;HC_63;TOTAL;HF_1;841
2023;HC_64;TOTAL;HF_2;2216
2023;HC_64;TOTAL;HF_3;28
2023;HC_66;TOTAL;HF_1;221
2023;HC_72;TOTAL;HF_2;4539
2024;HC_11;TOTAL;HF_2;1305
2024;HC_11;TOTAL;HF_3;1019
2024;HC_14;TOTAL;HF_1;11997
2024;HC_14;TOTAL;HF_2;384
2024;HC_14;TOTAL;HF_3;258
2024;HC_21;TOTAL;HF_1;10372
2024;HC_22;TOTAL;HF_2;24
2024;HC_23;TOTAL;HF_3;3561
2024;HC_24;TOTAL;HF_1;0
2024;HC_34;TOTAL;HF_3;543
2024;HC_42;TOTAL;HF_1;5089
2024;HC_52;TOTAL;HF_2;2849
2024;HC_62;TOTAL;HF_1;1321
2024;HC_62;TOTAL;HF_3;41
2024;HC_63;TOTAL;HF_1;595
2024;HC_63;TOTAL;HF_2;0
2024;HC_64;TOTAL;HF_3;32
2024;HC_72;TOTAL;HF_1;10985
2021;HC_2;HP_13;TOTAL;249
2021;HC_2;HP_34;TOTAL;73
2021;HC_3;HP_11;TOTAL;1329
2021;HC_4;HP_11;TOTAL;395
2021;HC_4;HP_12;TOTAL;0
2021;HC_4;HP_13;TOTAL;23
2021;HC_4;HP_81;TOTAL;72
2021;HC_5;HP_13;TOTAL;248
2021;HC_5;HP_33;TOTAL;336
2021;HC_5;HP_51;TOTAL;33541
2021;HC_5;HP_52;TOTAL;9995
2021;HC_6;HP_42;TOTAL;4372
2021;HC_6;HP_51;TOTAL;2996
2021;HC_6;HP_52;TOTAL;0
2021;HC_6;HP_59;TOTAL;1
2021;HC_7;HP_71;TOTAL;1126
2021;HC_7;HP_72;TOTAL;6590
2021;HC_7;HP_73;TOTAL;7692
2022;HC_1;HP_13;TOTAL;2028
2022;HC_1;HP_34;TOTAL;4545
2022;HC_2;HP_11;TOTAL;10817
2022;HC_2;HP_33;TOTAL;9783
2022;HC_2;HP_34;TOTAL;95
2022;HC_3;HP_11;TOTAL;1410
2022;HC_5;HP_52;TOTAL;10062
2022;HC_6;HP_34;TOTAL;1027
2022;HC_6;HP_42;TOTAL;2407
2022;HC_6;HP_51;TOTAL;3048
2022;HC_6;HP_6;TOTAL;4853
2022;HC_6;HP_82;TOTAL;634
2023;HC_1;HP_13;TOTAL;2193
2023;HC_1;HP_34;TOTAL;4955
2023;HC_3;HP_11;TOTAL;1488
2023;HC_3;HP_22;TOTAL;1809
2023;HC_3;HP_35;TOTAL;5866
2023;HC_4;HP_11;TOTAL;309
2023;HC_4;HP_12;TOTAL;0
2023;HC_4;HP_13;TOTAL;19
2023;HC_4;HP_31;TOTAL;121
2023;HC_4;HP_34;TOTAL;102
2023;HC_4;HP_41;TOTAL;3610
2023;HC_4;HP_81;TOTAL;74
2023;HC_6;HP_31;TOTAL;586
2023;HC_6;HP_42;TOTAL;496
2023;HC_6;HP_51;TOTAL;1270
2023;HC_6;HP_59;TOTAL;3
2023;HC_7;HP_72;TOTAL;6728
2024;HC_1;HP_12;TOTAL;14040
2024;HC_1;HP_33;TOTAL;10367
2024;HC_2;HP_11;TOTAL;12268
2024;HC_3;HP_33;TOTAL;4079
2024;HC_4;HP_34;TOTAL;106
2024;HC_5;HP_13;TOTAL;271
2024;HC_5;HP_51;TOTAL;37436
2024;HC_6;HP_11;TOTAL;0
2024;HC_6;HP_13;TOTAL;0
2024;HC_6;HP_32;TOTAL;242
2024;HC_6;HP_33;TOTAL;20
2024;HC_6;HP_34;TOTAL;1210
2024;HC_6;HP_42;TOTAL;366
2024;HC_6;HP_82;TOTAL;709
2024;HC_7;HP_71;TOTAL;1171
2024;HC_7;HP_72;TOTAL;6990
2021;HC_1;HP_1;TOTAL;80830
2021;HC_3;HP_1;TOTAL;1329
2021;HC_3;HP_2;TOTAL;35918
2021;HC_4;HP_4;TOTAL;12085
2021;HC_6;HP_4;TOTAL;4372
2021;HC_7;HP_7;TOTAL;15408
2022;HC_1;HP_3;TOTAL;46890
2022;HC_3;HP_1;TOTAL;1410
2022;HC_3;HP_2;TOTAL;37263
2022;HC_4;HP_1;TOTAL;361
2022;HC_4;HP_4;TOTAL;12415
2022;HC_6;HP_1;TOTAL;0
2022;HC_6;HP_5;TOTAL;3051
2022;HC_7;HP_7;TOTAL;15744
2023;HC_1;HP_1;TOTAL;88975
2023;HC_4;HP_1;TOTAL;328
2023;HC_4;HP_3;TOTAL;601
2023;HC_4;HP_4;TOTAL;13238
2023;HC_5;HP_3;TOTAL;406
2023;HC_6;HP_3;TOTAL;1979
2023;HC_6;HP_5;TOTAL;1273
2023;HC_6;HP_8;TOTAL;688
2024;HC_2;HP_3;TOTAL;11423
2024;HC_3;HP_1;TOTAL;1518
2024;HC_4;HP_4;TOTAL;13557
2024;HC_5;HP_1;TOTAL;18728
2024;HC_6;HP_1;TOTAL;0
2024;HC_6;HP_4;TOTAL;366
2021;HC_13;TOTAL;TOTAL;52072
2022;HC_13;TOTAL;TOTAL;55243
2022;HC_51;TOTAL;TOTAL;46227
2024;HC_51;TOTAL;TOTAL;51027
2021;HC_12;TOTAL;HF_32;136
2021;HC_13;TOTAL;HF_122;6422
2021;HC_21;TOTAL;HF_11;138
2021;HC_21;TOTAL;HF_121;8604
2021;HC_23;TOTAL;HF_32;751
2021;HC_24;TOTAL;HF_122;0
2021;HC_31;TOTAL;HF_11;759
2021;HC_32;TOTAL;HF_121;93
2021;HC_34;TOTAL;HF_11;3615
2021;HC_34;TOTAL;HF_122;11
2021;HC_34;TOTAL;HF_21;19
2021;HC_41;TOTAL;HF_11;30
2021;HC_41;TOTAL;HF_122;549
2021;HC_42;TOTAL;HF_122;383
2021;HC_43;TOTAL;HF_31;55
2021;HC_43;TOTAL;HF_32;124
2021;HC_51;TOTAL;HF_11;264
2021;HC_51;TOTAL;HF_121;35486
2021;HC_51;TOTAL;HF_31;3142
2021;HC_52;TOTAL;HF_11;66
2021;HC_52;TOTAL;HF_21;2877
2021;HC_61;TOTAL;HF_121;264
2021;HC_62;TOTAL;HF_32;0
2021;HC_63;TOTAL;HF_121;6680
2021;HC_63;TOTAL;HF_122;65
2021;HC_66;TOTAL;HF_121;259
2021;HC_72;TOTAL;HF_121;6590
2021;HC_72;TOTAL;HF_122;3511
2021;HC_72;TOTAL;HF_21;4181
2022;HC_11;TOTAL;HF_121;48468
2022;HC_11;TOTAL;HF_21;1239
2022;HC_11;TOTAL;HF_31;169
2022;HC_11;TOTAL;HF_32;953
2022;HC_12;TOTAL;HF_121;11097
2022;HC_13;TOTAL;HF_11;229
2022;HC_13;TOTAL;HF_121;38378
2022;HC_13;TOTAL;HF_31;841
2022;HC_14;TOTAL;HF_11;49
2022;HC_14;TOTAL;HF_21;349
2022;HC_22;TOTAL;HF_122;12
2022;HC_23;TOTAL;HF_122;745
2022;HC_23;TOTAL;HF_21;693
2022;HC_24;TOTAL;HF_122;0
2022;HC_24;TOTAL;HF_21;0
2022;HC_24;TOTAL;HF_32;0
2022;HC_31;TOTAL;HF_122;14
2022;HC_31;TOTAL;HF_21;10
2022;HC_34;TOTAL;HF_121;3896
2022;HC_34;TOTAL;HF_122;12
2022;HC_34;TOTAL;HF_21;19
2022;HC_41;TOTAL;HF_32;276
2022;HC_42;TOTAL;HF_11;16
2022;HC_42;TOTAL;HF_122;382
2022;HC_43;TOTAL;HF_122;78
2022;HC_43;TOTAL;HF_21;124
2022;HC_43;TOTAL;HF_31;52
2022;HC_51;TOTAL;HF_121;37289
2022;HC_51;TOTAL;HF_31;3343
2022;HC_52;TOTAL;HF_122;4405
2022;HC_52;TOTAL;HF_21;2720
2022;HC_61;TOTAL;HF_11;863
2022;HC_61;TOTAL;HF_122;2
2022;HC_61;TOTAL;HF_21;2
2022;HC_62;TOTAL;HF_21;101
2022;HC_63;TOTAL;HF_11;47
2022;HC_64;TOTAL;HF_21;0
2022;HC_65;TOTAL;HF_11;24
2022;HC_65;TOTAL;HF_21;0
2022;HC_65;TOTAL;HF_23;17
2022;HC_71;TOTAL;HF_11;1111
2022;HC_72;TOTAL;HF_122;3559
2022;HC_72;TOTAL;HF_21;4346
2023;HC_11;TOTAL;HF_122;923
2023;HC_12;TOTAL;HF_122;123
2023;HC_12;TOTAL;HF_21;190
2023;HC_12;TOTAL;HF_32;93
2023;HC_13;TOTAL;HF_21;5037
2023;HC_13;TOTAL;HF_31;810
2023;HC_13;TOTAL;HF_32;4886
2023;HC_14;TOTAL;HF_21;368
2023;HC_14;TOTAL;HF_32;207
2023;HC_21;TOTAL;HF_121;9360
2023;HC_21;TOTAL;HF_122;187
2023;HC_21;TOTAL;HF_21;273
2023;HC_23;TOTAL;HF_11;23
2023;HC_24;TOTAL;HF_121;0
2023;HC_24;TOTAL;HF_21;0
2023;HC_31;TOTAL;HF_121;24827
2023;HC_31;TOTAL;HF_122;7
2023;HC_31;TOTAL;HF_32;13330
2023;HC_34;TOTAL;HF_11;5161
2023;HC_41;TOTAL;HF_122;636
2023;HC_41;TOTAL;HF_21;511
2023;HC_42;TOTAL;HF_11;19
2023;HC_42;TOTAL;HF_121;4351
2023;HC_42;TOTAL;HF_32;449
2023;HC_43;TOTAL;HF_11;30
2023;HC_43;TOTAL;HF_122;75
2023;HC_43;TOTAL;HF_31;65
2023;HC_51;TOTAL;HF_21;2127
2023;HC_51;TOTAL;HF_31;3202
2023;HC_51;TOTAL;HF_32;1389
2023;HC_52;TOTAL;HF_32;2938
2023;HC_61;TOTAL;HF_21;2
2023;HC_62;TOTAL;HF_11;75
2023;HC_63;TOTAL;HF_11;45
2023;HC_64;TOTAL;HF_121;1223
2023;HC_64;TOTAL;HF_23;2216
2023;HC_66;TOTAL;HF_121;82
2023;HC_72;TOTAL;HF_121;6728
2023;HC_72;TOTAL;HF_21;4539
2024;HC_11;TOTAL;HF_11;705
2024;HC_12;TOTAL;HF_11;154
2024;HC_12;TOTAL;HF_21;199
2024;HC_13;TOTAL;HF_21;5405
2024;HC_21;TOTAL;HF_121;9941
2024;HC_21;TOTAL;HF_122;323
2024;HC_22;TOTAL;HF_32;11
2024;HC_23;TOTAL;HF_32;960
2024;HC_24;TOTAL;HF_11;0
2024;HC_24;TOTAL;HF_121;0
2024;HC_24;TOTAL;HF_122;0
2024;HC_24;TOTAL;HF_21;0
2024;HC_31;TOTAL;HF_11;829
2024;HC_31;TOTAL;HF_121;25898
2024;HC_32;TOTAL;HF_121;107
2024;HC_33;TOTAL;HF_121;1668
2024;HC_34;TOTAL;HF_21;20
2024;HC_41;TOTAL;HF_11;27
2024;HC_41;TOTAL;HF_121;3539
2024;HC_41;TOTAL;HF_122;662
2024;HC_42;TOTAL;HF_32;510
2024;HC_43;TOTAL;HF_21;141
2024;HC_43;TOTAL;HF_31;58
2024;HC_43;TOTAL;HF_32;137
2024;HC_51;TOTAL;HF_121;41789
2024;HC_52;TOTAL;HF_11;65
2024;HC_52;TOTAL;HF_122;4965
2024;HC_52;TOTAL;HF_21;2849
2024;HC_61;TOTAL;HF_122;1
2024;HC_62;TOTAL;HF_11;67
2024;HC_62;TOTAL;HF_21;132
2024;HC_63;TOTAL;HF_21;0
2024;HC_64;TOTAL;HF_11;1079
2024;HC_64;TOTAL;HF_121;1382
2024;HC_64;TOTAL;HF_122;0
2024;HC_64;TOTAL;HF_23;2226
2024;HC_64;TOTAL;HF_32;32
2024;HC_65;TOTAL;HF_121;294
2024;HC_65;TOTAL;HF_23;18
2024;HC_66;TOTAL;HF_121;85
2024;HC_72;TOTAL;HF_122;3994
2021;HC_1;TOTAL;HF_12;111811
2021;HC_5;TOTAL;HF_12;50203
2022;HC_1;TOTAL;HF_12;116719
2023;HC_2;TOTAL;HF_12;17861
2023;HC_4;TOTAL;HF_12;15467
2023;HC_6;TOTAL;HF_12;4016
2024;HC_1;TOTAL;HF_12;124408
2024;HC_4;TOTAL;HF_12;15763
2024;HC_7;TOTAL;HF_12;10985
2021;HC_14;TOTAL;HF_12;11234
2021;HC_24;TOTAL;HF_12;0
2021;HC_42;TOTAL;HF_12;4289
2021;HC_63;TOTAL;HF_12;6745
2021;HC_64;TOTAL;HF_12;1220
2021;HC_72;TOTAL;HF_12;10102
2022;HC_23;TOTAL;HF_12;6604
2022;HC_31;TOTAL;HF_12;23257
2022;HC_33;TOTAL;HF_12;1536
2022;HC_51;TOTAL;HF_12;39060
2022;HC_52;TOTAL;HF_12;13888
2022;HC_61;TOTAL;HF_12;300
2022;HC_62;TOTAL;HF_12;2171
2023;HC_13;TOTAL;HF_12;47300
2023;HC_21;TOTAL;HF_12;9547
2023;HC_22;TOTAL;HF_12;1290
2023;HC_23;TOTAL;HF_12;7024
2023;HC_24;TOTAL;HF_12;0
2023;HC_31;TOTAL;HF_12;24835
2023;HC_34;TOTAL;HF_12;4088
2023;HC_41;TOTAL;HF_12;4326
2023;HC_42;TOTAL;HF_12;4772
2023;HC_52;TOTAL;HF_12;14748
2023;HC_62;TOTAL;HF_12;1324
2023;HC_65;TOTAL;HF_12;278
2023;HC_72;TOTAL;HF_12;10453
2024;HC_11;TOTAL;HF_12;51189
2024;HC_13;TOTAL;HF_12;48413
2024;HC_23;TOTAL;HF_12;7554
2024;HC_31;TOTAL;HF_12;25947
2024;HC_34;TOTAL;HF_12;4230
2024;HC_42;TOTAL;HF_12;5068
2024;HC_52;TOTAL;HF_12;15444
2024;HC_62;TOTAL;HF_12;1254
2024;HC_72;TOTAL;HF_12;10985
2021;HC_11;HP_12;TOTAL;9641
2021;HC_12;HP_11;TOTAL;9101
2021;HC_12;HP_34;TOTAL;1441
2021;HC_13;HP_13;TOTAL;884
2021;HC_14;HP_31;TOTAL;932
2021;HC_14;HP_32;TOTAL;0
2021;HC_14;HP_33;TOTAL;8929
2021;HC_31;HP_11;TOTAL;1329
2021;HC_31;HP_22;TOTAL;177
2021;HC_34;HP_33;TOTAL;3633
2021;HC_34;HP_35;TOTAL;4006
2021;HC_41;HP_13;TOTAL;23
2021;HC_42;HP_12;TOTAL;0
2021;HC_42;HP_31;TOTAL;102
2021;HC_42;HP_32;TOTAL;347
2021;HC_51;HP_59;TOTAL;234
2021;HC_52;HP_52;TOTAL;9993
2021;HC_52;HP_59;TOTAL;4220
2021;HC_61;HP_31;TOTAL;0
2021;HC_61;HP_6;TOTAL;339
2021;HC_61;HP_82;TOTAL;594
2021;HC_62;HP_12;TOTAL;0
2021;HC_62;HP_34;TOTAL;36
2021;HC_62;HP_6;TOTAL;2085
2021;HC_63;HP_34;TOTAL;0
2021;HC_64;HP_33;TOTAL;2
2021;HC_64;HP_42;TOTAL;0
2021;HC_65;HP_12;TOTAL;0
2021;HC_65;HP_13;TOTAL;0
