Annee;HC;HP;HF;Valeur
2021;HC_12;TOTAL;HF_32;136
2021;HC_21;TOTAL;HF_11;138
2021;HC_21;TOTAL;HF_121;8604
2021;HC_23;TOTAL;HF_32;751
2021;HC_24;TOTAL;HF_122;0
2021;HC_31;TOTAL;HF_11;759
2021;HC_32;TOTAL;HF_121;93
2021;HC_34;TOTAL;HF_11;3615
2021;HC_34;TOTAL;HF_122;11
2021;HC_34;TOTAL;HF_21;19
2021;HC_41;TOTAL;HF_11;30
2021;HC_41;TOTAL;HF_122;549
2021;HC_42;TOTAL;HF_122;383
2021;HC_43;TOTAL;HF_31;55
2021;HC_43;TOTAL;HF_32;124
2021;HC_52;TOTAL;HF_11;66
2021;HC_52;TOTAL;HF_21;2877
2021;HC_61;TOTAL;HF_121;264
2021;HC_62;TOTAL;HF_32;0
2021;HC_63;TOTAL;HF_121;6680
2021;HC_63;TOTAL;HF_122;65
2021;HC_66;TOTAL;HF_121;259
2021;HC_72;TOTAL;HF_121;6590
2021;HC_72;TOTAL;HF_122;3511
2021;HC_72;TOTAL;HF_21;4181
2022;HC_11;TOTAL;HF_121;48468
2022;HC_11;TOTAL;HF_21;1239
2022;HC_11;TOTAL;HF_31;169
2022;HC_11;TOTAL;HF_32;953
2022;HC_12;TOTAL;HF_121;11097
2022;HC_14;TOTAL;HF_11;49
2022;HC_14;TOTAL;HF_21;349
2022;HC_22;TOTAL;HF_122;12
2022;HC_23;TOTAL;HF_122;745
2022;HC_23;TOTAL;HF_21;693
2022;HC_24;TOTAL;HF_122;0
2022;HC_24;TOTAL;HF_21;0
2022;HC_24;TOTAL;HF_32;0
2022;HC_31;TOTAL;HF_122;14
2022;HC_31;TOTAL;HF_21;10
2022;HC_34;TOTAL;HF_121;3896
2022;HC_34;TOTAL;HF_122;12
2022;HC_34;TOTAL;HF_21;19
2022;HC_41;TOTAL;HF_32;276
2022;HC_42;TOTAL;HF_11;16
2022;HC_42;TOTAL;HF_122;382
2022;HC_43;TOTAL;HF_122;78
2022;HC_43;TOTAL;HF_21;124
2022;HC_43;TOTAL;HF_31;52
2022;HC_52;TOTAL;HF_122;4405
2022;HC_52;TOTAL;HF_21;2720
2022;HC_61;TOTAL;HF_11;863
2022;HC_61;TOTAL;HF_122;2
2022;HC_61;TOTAL;HF_21;2
2022;HC_62;TOTAL;HF_21;101
2022;HC_63;TOTAL;HF_11;47
2022;HC_64;TOTAL;HF_21;0
2022;HC_65;TOTAL;HF_11;24
2022;HC_65;TOTAL;HF_21;0
2022;HC_65;TOTAL;HF_23;17
2022;HC_71;TOTAL;HF_11;1111
2022;HC_72;TOTAL;HF_122;3559
2022;HC_72;TOTAL;HF_21;4346
2023;HC_11;TOTAL;HF_122;923
2023;HC_12;TOTAL;HF_122;123
2023;HC_12;TOTAL;HF_21;190
2023;HC_12;TOTAL;HF_32;93
2023;HC_14;TOTAL;HF_21;368
2023;HC_14;TOTAL;HF_32;207
2023;HC_21;TOTAL;HF_121;9360
2023;HC_21;TOTAL;HF_122;187
2023;HC_21;TOTAL;HF_21;273
2023;HC_23;TOTAL;HF_11;23
2023;HC_24;TOTAL;HF_121;0
2023;HC_24;TOTAL;HF_21;0
2023;HC_31;TOTAL;HF_121;24827
2023;HC_31;TOTAL;HF_122;7
2023;HC_31;TOTAL;HF_32;13330
